msrmnt_waferId,msrmnt_siteId,msrmnt_xcoord,msrmnt_ycoord,msrmnt_type,msrmnt_val
WAFER5287,1,0,0,THK,1286.82594
WAFER5287,2,-0.0001,48.9999,THK,1266.04717
WAFER5287,3,-34.6483,34.648,THK,1253.62418
WAFER5287,4,-48.9999,-0.0001,THK,1244.29257
WAFER5287,5,-34.648,-34.6483,THK,1233.73915
WAFER5287,6,0.0001,-48.9999,THK,1223.71062
WAFER5287,7,34.6483,-34.648,THK,1213.82960
WAFER5287,8,48.9999,0.0001,THK,1205.80177
WAFER5287,9,34.648,34.6483,THK,1196.38821
WAFER5287,10,-0.0002,97.9999,THK,1188.37677
WAFER5287,11,-37.5033,90.54,THK,1177.65118
WAFER5287,12,-69.2966,69.2961,THK,1169.97594
WAFER5287,13,-90.5403,37.5026,THK,1161.25118
WAFER5287,14,-97.9999,-0.0004,THK,1154.36321
WAFER5287,15,-90.54,-37.5033,THK,1148.09022
WAFER5287,16,-69.2961,-69.2966,THK,1143.30142
WAFER5287,17,-37.5026,-90.5403,THK,1139.06203
WAFER5287,18,0.0004,-97.9999,THK,1136.83160
WAFER5287,19,37.5033,-90.54,THK,1133.75660
WAFER5287,20,69.2967,-69.2961,THK,1129.58278
WAFER5287,21,90.5403,-37.5026,THK,1124.77759
WAFER5287,22,97.9999,0.0004,THK,1117.44682
WAFER5287,23,90.54,37.5033,THK,1108.98443
WAFER5287,24,69.296,69.2967,THK,1097.93078
WAFER5287,25,37.5026,90.5403,THK,1087.37736
WAFER5287,26,-0.0005,147,THK,1078.32465
WAFER5287,27,-38.0469,141.991,THK,1069.29634
WAFER5287,28,-73.5003,127.305,THK,1059.83361
WAFER5287,29,-103.945,103.944,THK,1047.86162
WAFER5287,30,-127.306,73.4995,THK,1036.19298
WAFER5287,31,-141.991,38.0457,THK,1023.27801
WAFER5287,32,-147,-0.0005,THK,1008.91162
WAFER5287,33,-141.991,-38.0469,THK,995.88178
WAFER5287,34,-127.305,-73.5003,THK,982.99139
WAFER5287,35,-103.944,-103.945,THK,970.55201
WAFER5287,36,-73.4993,-127.306,THK,958.25201
WAFER5287,37,-38.0457,-141.991,THK,945.11562
WAFER5287,38,0.0005,-147,THK,932.99599
WAFER5287,39,38.0469,-141.991,THK,921.99982
WAFER5287,40,73.5005,-127.305,THK,912.12701
WAFER5287,41,103.945,-103.944,THK,904.94381
WAFER5287,42,127.306,-73.4993,THK,895.43178
WAFER5287,43,141.991,-38.0457,THK,885.00961
WAFER5287,44,147,0.0005,THK,876.25201
WAFER5287,45,141.991,38.0469,THK,867.10902
WAFER5287,46,127.305,73.5005,THK,860.95902
WAFER5287,47,103.944,103.945,THK,852.93119
WAFER5287,48,73.4993,127.306,THK,846.01038
WAFER5287,49,38.0457,141.991,THK,843.35360
